,description,language,description_no_nn,translated_text,tokens_text,preprocessed_text,ngrams_only,Nouns,final_tokens,final_memo_tokens
212, background existing evidence concerning the relationship between daytime napping and type diabetes td inconsistent and whether the effects napping differ body fat percentage bfp and reactive protein crp unclear aimed investigate the association between daytime napping frequency and td risk and whether such association was modified bfp and crp methods included participants free diabetes from the biobank participants were categorized ,en, background existing evidence concerning the relationship between daytime napping and type diabetes td inconsistent and whether the effects napping differ body fat percentage bfp and reactive protein crp unclear aimed investigate the association between daytime napping frequency and td risk and whether such association was modified bfp and crp methods included participants free diabetes from the biobank participants were categorized , background existing evidence concerning the relationship between daytime napping and type diabetes td inconsistent and whether the effects napping differ body fat percentage bfp and reactive protein crp unclear aimed investigate the association between daytime napping frequency and td risk and whether such association was modified bfp and crp methods included participants free diabetes from the biobank participants were categorized ,"['background', 'existing', 'evidence', 'concerning', 'relationship', 'daytime', 'napping', 'type', 'diabetes', 'td', 'inconsistent', 'whether', 'effect', 'napping', 'differ', 'body', 'fat', 'percentage', 'bfp', 'reactive', 'protein', 'crp', 'unclear', 'aimed', 'investigate', 'association', 'daytime', 'napping', 'frequency', 'td', 'risk', 'whether', 'association', 'modified', 'bfp', 'crp', 'method', 'included', 'participant', 'free', 'diabetes', 'biobank', 'participant', 'categorized']","['background', 'existing', 'evidence', 'concerning', 'relationship', 'daytime', 'napping', 'type', 'diabetes', 'td', 'inconsistent', 'whether', 'effect', 'napping', 'differ', 'body', 'fat', 'percentage', 'bfp', 'reactive', 'protein', 'crp', 'unclear', 'aimed_investigate', 'association', 'daytime', 'napping', 'frequency', 'td', 'risk', 'whether', 'association', 'modified', 'bfp', 'crp', 'method', 'included', 'participant', 'free', 'diabetes', 'biobank', 'participant', 'categorized']",['aimed_investigate'],background evidence relationship type diabetes effect differ body percentage bfp protein association daytime frequency td risk association crp method diabetes categorized,"['aimed_investigate', 'background', 'evidence', 'relationship', 'type', 'diabetes', 'effect', 'differ', 'body', 'percentage', 'bfp', 'protein', 'association', 'daytime', 'frequency', 'risk', 'crp', 'method', 'categorized']","['aimed_investigate', 'background', 'evidence', 'relationship', 'type', 'diabetes', 'effect', 'differ', 'body', 'percentage', 'bfp', 'protein', 'association', 'daytime', 'frequency', 'risk', 'crp', 'method', 'categorized']"
214, the low grade inflammatory state obesity can damage vascular endothelial cells and lead several cardiovascular diseases macrophage exosomes improve glucose tolerance and insulin sensitivity obese mice and yet unclear how relates endothelial cell injury firstly lipopolysaccharide lps induced macrophage exosomes were cultured with endothelial progenitor cells epcs examine the function epcs and the level inflammatory factors secondly macrophages were ,en, the low grade inflammatory state obesity can damage vascular endothelial cells and lead several cardiovascular diseases macrophage exosomes improve glucose tolerance and insulin sensitivity obese mice and yet unclear how relates endothelial cell injury firstly lipopolysaccharide lps induced macrophage exosomes were cultured with endothelial progenitor cells epcs examine the function epcs and the level inflammatory factors secondly macrophages were , the low grade inflammatory state obesity can damage vascular endothelial cells and lead several cardiovascular diseases macrophage exosomes improve glucose tolerance and insulin sensitivity obese mice and yet unclear how relates endothelial cell injury firstly lipopolysaccharide lps induced macrophage exosomes were cultured with endothelial progenitor cells epcs examine the function epcs and the level inflammatory factors secondly macrophages were ,"['low', 'grade', 'inflammatory', 'state', 'obesity', 'damage', 'vascular', 'endothelial', 'cell', 'lead', 'several', 'cardiovascular', 'disease', 'macrophage', 'exosomes', 'improve', 'glucose', 'tolerance', 'insulin', 'sensitivity', 'obese', 'mouse', 'yet', 'unclear', 'relates', 'endothelial', 'cell', 'injury', 'firstly', 'lipopolysaccharide', 'lp', 'induced', 'macrophage', 'exosomes', 'cultured', 'endothelial', 'progenitor', 'cell', 'epcs', 'examine', 'function', 'epcs', 'level', 'inflammatory', 'factor', 'secondly', 'macrophage']","['low', 'grade', 'inflammatory', 'state', 'obesity', 'damage', 'vascular_endothelial', 'cell', 'lead', 'several', 'cardiovascular', 'disease', 'macrophage', 'exosomes', 'improve', 'glucose', 'tolerance', 'insulin', 'sensitivity', 'obese', 'mouse', 'yet', 'unclear', 'relates', 'endothelial', 'cell', 'injury', 'firstly', 'lipopolysaccharide', 'lp', 'induced', 'macrophage', 'exosomes', 'cultured', 'endothelial', 'progenitor', 'cell', 'epcs', 'examine', 'function', 'epcs', 'level', 'inflammatory', 'factor', 'secondly', 'macrophage']",['vascular_endothelial'],state obesity damage endothelial cell disease macrophage tolerance insulin sensitivity mouse cell injury lp macrophage exosomes progenitor cell examine function level factor macrophage,"['vascular_endothelial', 'state', 'obesity', 'damage', 'endothelial', 'cell', 'disease', 'macrophage', 'tolerance', 'insulin', 'sensitivity', 'mouse', 'injury', 'exosomes', 'progenitor', 'examine', 'function', 'level', 'factor']","['vascular_endothelial', 'state', 'obesity', 'damage', 'endothelial', 'cell', 'disease', 'macrophage', 'tolerance', 'insulin', 'sensitivity', 'mouse', 'injury', 'exosomes', 'progenitor', 'examine', 'function', 'level', 'factor']"
215, smoking and diabetes mellitus have been identified major cardiovascular risk factors for many years the field cardiovascular diseases considering sex differences gender differences both has become essential element moving toward equitable and quality health care reviewed the effect sex gender the link between smoking and the risk type due smoking has been established both sexes the same level the case the general popu ,en, smoking and diabetes mellitus have been identified major cardiovascular risk factors for many years the field cardiovascular diseases considering sex differences gender differences both has become essential element moving toward equitable and quality health care reviewed the effect sex gender the link between smoking and the risk type due smoking has been established both sexes the same level the case the general popu , smoking and diabetes mellitus have been identified major cardiovascular risk factors for many years the field cardiovascular diseases considering sex differences gender differences both has become essential element moving toward equitable and quality health care reviewed the effect sex gender the link between smoking and the risk type due smoking has been established both sexes the same level the case the general popu ,"['smoking', 'diabetes', 'mellitus', 'identified', 'major', 'cardiovascular', 'risk', 'factor', 'many', 'year', 'field', 'cardiovascular', 'disease', 'considering', 'sex', 'difference', 'gender', 'difference', 'become', 'essential', 'element', 'moving', 'toward', 'equitable', 'quality', 'health', 'care', 'reviewed', 'effect', 'sex', 'gender', 'link', 'smoking', 'risk', 'type', 'due', 'smoking', 'established', 'sex', 'level', 'case', 'general', 'popu']","['smoking', 'diabetes', 'mellitus', 'identified', 'major', 'cardiovascular', 'risk', 'factor', 'many', 'year', 'field', 'cardiovascular', 'disease', 'considering', 'sex', 'difference', 'gender', 'difference', 'become', 'essential', 'element', 'moving', 'toward', 'equitable', 'quality', 'health', 'care', 'reviewed', 'effect', 'sex', 'gender', 'link', 'smoking', 'risk', 'type', 'due', 'smoking', 'established', 'sex', 'level', 'case', 'general', 'popu']",[],diabetes risk factor year field disease sex difference gender difference element quality health care effect sex gender link smoking risk type smoking sex level case popu,"['diabetes', 'risk', 'factor', 'year', 'field', 'disease', 'sex', 'difference', 'gender', 'element', 'quality', 'health', 'care', 'effect', 'link', 'smoking', 'type', 'level', 'case', 'popu']","['diabetes', 'risk', 'factor', 'year', 'field', 'disease', 'sex', 'difference', 'gender', 'element', 'quality', 'health', 'care', 'effect', 'link', 'smoking', 'type', 'level', 'case', 'popu']"
216, type diabetes mellitus poses major burden for the treatment and control tuberculosis characterization the underlying metabolic perturbations patients with infection would yield insights into the pathophysiology thus potentially leading improvements treatment this study multimodal metabolomics and lipidomics workflow was applied investigate plasma metabolic profiles patients with and significantly different biological proc ,en, type diabetes mellitus poses major burden for the treatment and control tuberculosis characterization the underlying metabolic perturbations patients with infection would yield insights into the pathophysiology thus potentially leading improvements treatment this study multimodal metabolomics and lipidomics workflow was applied investigate plasma metabolic profiles patients with and significantly different biological proc , type diabetes mellitus poses major burden for the treatment and control tuberculosis characterization the underlying metabolic perturbations patients with infection would yield insights into the pathophysiology thus potentially leading improvements treatment this study multimodal metabolomics and lipidomics workflow was applied investigate plasma metabolic profiles patients with and significantly different biological proc ,"['type', 'diabetes', 'mellitus', 'pose', 'major', 'burden', 'treatment', 'control', 'tuberculosis', 'characterization', 'underlying', 'metabolic', 'perturbation', 'patient', 'infection', 'would', 'yield', 'insight', 'pathophysiology', 'thus', 'potentially', 'leading', 'improvement', 'treatment', 'study', 'multimodal', 'metabolomics', 'lipidomics', 'workflow', 'applied', 'investigate', 'plasma', 'metabolic', 'profile', 'patient', 'significantly', 'different', 'biological', 'proc']","['type', 'diabetes', 'mellitus', 'pose', 'major', 'burden', 'treatment', 'control', 'tuberculosis', 'characterization', 'underlying', 'metabolic', 'perturbation', 'patient', 'infection', 'would', 'yield', 'insight', 'pathophysiology', 'thus', 'potentially', 'leading', 'improvement', 'treatment', 'study', 'multimodal', 'metabolomics', 'lipidomics', 'workflow', 'applied', 'investigate', 'plasma', 'metabolic', 'profile', 'patient', 'significantly', 'different', 'biological', 'proc']",[],type burden treatment control tuberculosis characterization perturbation patient infection pathophysiology improvement treatment study metabolomics lipidomics plasma patient proc,"['type', 'burden', 'treatment', 'control', 'tuberculosis', 'characterization', 'perturbation', 'patient', 'infection', 'pathophysiology', 'improvement', 'study', 'metabolomics', 'lipidomics', 'plasma', 'proc']","['type', 'burden', 'treatment', 'control', 'tuberculosis', 'characterization', 'perturbation', 'patient', 'infection', 'pathophysiology', 'improvement', 'study', 'metabolomics', 'lipidomics', 'plasma', 'proc']"
217, while climate change and population ageing are expected increase the exposure and vulnerability extreme heat events there emerging evidence suggesting that social inequalities would additionally magnify the projected health impacts however limited evidence exists how social determinants modify heat related cardiovascular morbidity this study aims explore the association between heat and the incidence first acute cardiovascular event cve adults madrid between ,en, while climate change and population ageing are expected increase the exposure and vulnerability extreme heat events there emerging evidence suggesting that social inequalities would additionally magnify the projected health impacts however limited evidence exists how social determinants modify heat related cardiovascular morbidity this study aims explore the association between heat and the incidence first acute cardiovascular event cve adults madrid between , while climate change and population ageing are expected increase the exposure and vulnerability extreme heat events there emerging evidence suggesting that social inequalities would additionally magnify the projected health impacts however limited evidence exists how social determinants modify heat related cardiovascular morbidity this study aims explore the association between heat and the incidence first acute cardiovascular event cve adults madrid between ,"['climate', 'change', 'population', 'ageing', 'expected', 'increase', 'exposure', 'vulnerability', 'extreme', 'heat', 'event', 'emerging', 'evidence', 'suggesting', 'social', 'inequality', 'would', 'additionally', 'magnify', 'projected', 'health', 'impact', 'however', 'limited', 'evidence', 'exists', 'social', 'determinant', 'modify', 'heat', 'related', 'cardiovascular', 'morbidity', 'study', 'aim', 'explore', 'association', 'heat', 'incidence', 'first', 'acute', 'cardiovascular', 'event', 'cve', 'adult', 'madrid']","['climate', 'change', 'population', 'ageing', 'expected', 'increase', 'exposure', 'vulnerability', 'extreme', 'heat', 'event', 'emerging', 'evidence', 'suggesting', 'social', 'inequality', 'would', 'additionally', 'magnify', 'projected', 'health', 'impact', 'however', 'limited', 'evidence', 'exists', 'social', 'determinant', 'modify', 'heat', 'related', 'cardiovascular', 'morbidity', 'study', 'aim', 'explore', 'association', 'heat', 'incidence', 'first', 'acute', 'cardiovascular', 'event', 'cve', 'adult', 'madrid']",[],climate change population increase exposure vulnerability extreme heat event evidence inequality health impact evidence exists modify heat morbidity study association heat incidence event cve adult madrid,"['climate', 'change', 'population', 'increase', 'exposure', 'vulnerability', 'extreme', 'heat', 'event', 'evidence', 'inequality', 'health', 'impact', 'exists', 'modify', 'morbidity', 'study', 'association', 'incidence', 'cve', 'adult', 'madrid']","['climate', 'change', 'population', 'increase', 'exposure', 'vulnerability', 'extreme', 'heat', 'event', 'evidence', 'inequality', 'health', 'impact', 'exists', 'modify', 'morbidity', 'study', 'association', 'incidence', 'cve', 'adult', 'madrid']"
218, comprehensive picture the data the impact covid the mental health individuals with type diabetes td currently lacking the purpose this systematic review was synthesize extant literature reporting the effects covid psychological outcomes individuals with td and identify associated factors ,en, comprehensive picture the data the impact covid the mental health individuals with type diabetes td currently lacking the purpose this systematic review was synthesize extant literature reporting the effects covid psychological outcomes individuals with td and identify associated factors , comprehensive picture the data the impact covid the mental health individuals with type diabetes td currently lacking the purpose this systematic review was synthesize extant literature reporting the effects covid psychological outcomes individuals with td and identify associated factors ,"['comprehensive', 'picture', 'data', 'impact', 'covid', 'mental', 'health', 'individual', 'type', 'diabetes', 'td', 'currently', 'lacking', 'purpose', 'systematic', 'review', 'synthesize', 'extant', 'literature', 'reporting', 'effect', 'covid', 'psychological', 'outcome', 'individual', 'td', 'identify', 'associated', 'factor']","['comprehensive', 'picture', 'data', 'impact', 'covid', 'mental', 'health', 'individual', 'type', 'diabetes', 'td', 'currently', 'lacking', 'purpose', 'systematic_review', 'synthesize', 'extant', 'literature', 'reporting', 'effect', 'covid', 'psychological', 'outcome', 'individual', 'td', 'identify', 'associated', 'factor']",['systematic_review'],picture data impact health type review synthesize literature effect outcome td identify factor,"['systematic_review', 'picture', 'data', 'impact', 'health', 'type', 'review', 'synthesize', 'literature', 'effect', 'outcome', 'identify', 'factor']","['systematic_review', 'picture', 'data', 'impact', 'health', 'type', 'review', 'synthesize', 'literature', 'effect', 'outcome', 'identify', 'factor']"
220, background multiple studies have independently investigated associations between the consumption individual beverage types and specific plasma biomarkers with type diabetes td risk however individuals not consume single beverage types exclusively and plasma biomarkers not act isolation remains unclear how patterns beverage consumption and plasma biomarker networks associate both with each other and td risk objective elucidate potential dietary determinan ,en, background multiple studies have independently investigated associations between the consumption individual beverage types and specific plasma biomarkers with type diabetes td risk however individuals not consume single beverage types exclusively and plasma biomarkers not act isolation remains unclear how patterns beverage consumption and plasma biomarker networks associate both with each other and td risk objective elucidate potential dietary determinan , background multiple studies have independently investigated associations between the consumption individual beverage types and specific plasma biomarkers with type diabetes td risk however individuals not consume single beverage types exclusively and plasma biomarkers not act isolation remains unclear how patterns beverage consumption and plasma biomarker networks associate both with each other and td risk objective elucidate potential dietary determinan ,"['background', 'multiple', 'study', 'independently', 'investigated', 'association', 'consumption', 'individual', 'beverage', 'type', 'specific', 'plasma', 'biomarkers', 'type', 'diabetes', 'td', 'risk', 'however', 'individual', 'consume', 'single', 'beverage', 'type', 'exclusively', 'plasma', 'biomarkers', 'act', 'isolation', 'remains', 'unclear', 'pattern', 'beverage', 'consumption', 'plasma', 'biomarker', 'network', 'associate', 'td', 'risk', 'objective', 'elucidate', 'potential', 'dietary', 'determinan']","['background', 'multiple', 'study', 'independently', 'investigated', 'association', 'consumption', 'individual', 'beverage', 'type', 'specific', 'plasma', 'biomarkers', 'type', 'diabetes', 'td', 'risk', 'however', 'individual', 'consume', 'single', 'beverage', 'type', 'exclusively', 'plasma', 'biomarkers', 'act', 'isolation', 'remains_unclear', 'pattern', 'beverage', 'consumption', 'plasma', 'biomarker', 'network', 'associate', 'td', 'risk', 'objective', 'elucidate', 'potential', 'dietary', 'determinan']",['remains_unclear'],background multiple study association consumption beverage type plasma biomarkers td risk consume beverage type biomarkers isolation beverage consumption plasma biomarker network td risk elucidate determinan,"['remains_unclear', 'background', 'multiple', 'study', 'association', 'consumption', 'beverage', 'type', 'plasma', 'biomarkers', 'risk', 'consume', 'isolation', 'biomarker', 'network', 'elucidate', 'determinan']","['remains_unclear', 'background', 'multiple', 'study', 'association', 'consumption', 'beverage', 'type', 'plasma', 'biomarkers', 'risk', 'consume', 'isolation', 'biomarker', 'network', 'elucidate', 'determinan']"
221, background integrated care involves good coordination networking and communication within health care services and externally between providers and patients informal caregivers affects the quality services more cost effective and contributes greater satisfaction among individuals and providers integrated care our study examined the implementation and understanding integrated care from the perspective providers the health care team and gained insights ,en, background integrated care involves good coordination networking and communication within health care services and externally between providers and patients informal caregivers affects the quality services more cost effective and contributes greater satisfaction among individuals and providers integrated care our study examined the implementation and understanding integrated care from the perspective providers the health care team and gained insights , background integrated care involves good coordination networking and communication within health care services and externally between providers and patients informal caregivers affects the quality services more cost effective and contributes greater satisfaction among individuals and providers integrated care our study examined the implementation and understanding integrated care from the perspective providers the health care team and gained insights ,"['background', 'integrated', 'care', 'involves', 'good', 'coordination', 'networking', 'communication', 'within', 'health', 'care', 'service', 'externally', 'provider', 'patient', 'informal', 'caregiver', 'affect', 'quality', 'service', 'cost', 'effective', 'contributes', 'greater', 'satisfaction', 'among', 'individual', 'provider', 'integrated', 'care', 'study', 'examined', 'implementation', 'understanding', 'integrated', 'care', 'perspective', 'provider', 'health', 'care', 'team', 'gained', 'insight']","['background', 'integrated', 'care', 'involves', 'good', 'coordination', 'networking', 'communication', 'within', 'health', 'care', 'service', 'externally', 'provider', 'patient', 'informal', 'caregiver', 'affect', 'quality', 'service', 'cost', 'effective', 'contributes', 'greater', 'satisfaction', 'among', 'individual', 'provider', 'integrated', 'care', 'study', 'examined', 'implementation', 'understanding', 'integrated', 'care', 'perspective', 'provider', 'health', 'care', 'team', 'gained', 'insight']",[],background care coordination communication health care service patient caregiver quality service cost contributes satisfaction provider care study implementation understanding care provider health care team,"['background', 'care', 'coordination', 'communication', 'health', 'service', 'patient', 'caregiver', 'quality', 'cost', 'contributes', 'satisfaction', 'provider', 'study', 'implementation', 'understanding', 'team']","['background', 'care', 'coordination', 'communication', 'health', 'service', 'patient', 'caregiver', 'quality', 'cost', 'contributes', 'satisfaction', 'provider', 'study', 'implementation', 'understanding', 'team']"
222, early disease detection often correlated with reduction mortality rate and improved prognosis currently techniques like biopsy and imaging that are used screen chronic diseases are invasive costly inaccessible large population thus non invasive disease screening technology the need the hour existing non invasive methods like gas chromatography mass spectrometry selected ion flow tube mass spectrometry and proton transfer reaction mass spectrometry are expens ,en, early disease detection often correlated with reduction mortality rate and improved prognosis currently techniques like biopsy and imaging that are used screen chronic diseases are invasive costly inaccessible large population thus non invasive disease screening technology the need the hour existing non invasive methods like gas chromatography mass spectrometry selected ion flow tube mass spectrometry and proton transfer reaction mass spectrometry are expens , early disease detection often correlated with reduction mortality rate and improved prognosis currently techniques like biopsy and imaging that are used screen chronic diseases are invasive costly inaccessible large population thus non invasive disease screening technology the need the hour existing non invasive methods like gas chromatography mass spectrometry selected ion flow tube mass spectrometry and proton transfer reaction mass spectrometry are expens ,"['early', 'disease', 'detection', 'often', 'correlated', 'reduction', 'mortality', 'rate', 'improved', 'prognosis', 'currently', 'technique', 'like', 'biopsy', 'imaging', 'used', 'screen', 'chronic', 'disease', 'invasive', 'costly', 'inaccessible', 'large', 'population', 'thus', 'non', 'invasive', 'disease', 'screening', 'technology', 'need', 'hour', 'existing', 'non', 'invasive', 'method', 'like', 'gas', 'chromatography', 'mass', 'spectrometry', 'selected', 'ion', 'flow', 'tube', 'mass', 'spectrometry', 'proton', 'transfer', 'reaction', 'mass', 'spectrometry', 'expens']","['early', 'disease', 'detection', 'often', 'correlated', 'reduction', 'mortality', 'rate', 'improved', 'prognosis', 'currently', 'technique', 'like', 'biopsy', 'imaging', 'used', 'screen', 'chronic', 'disease', 'invasive', 'costly', 'inaccessible', 'large', 'population', 'thus', 'non', 'invasive', 'disease', 'screening', 'technology', 'need', 'hour', 'existing', 'non', 'invasive', 'method', 'like', 'gas', 'chromatography', 'mass_spectrometry', 'selected', 'ion', 'flow', 'tube', 'mass_spectrometry', 'proton', 'transfer', 'reaction', 'mass_spectrometry', 'expens']","['mass_spectrometry', 'mass_spectrometry', 'mass_spectrometry']",disease detection reduction mortality rate prognosis biopsy screen disease population disease technology hour method gas chromatography mass spectrometry ion flow tube mass spectrometry proton transfer reaction mass spectrometry expens,"['mass_spectrometry', 'disease', 'detection', 'reduction', 'mortality', 'rate', 'prognosis', 'biopsy', 'screen', 'population', 'technology', 'hour', 'method', 'gas', 'chromatography', 'mass', 'spectrometry', 'ion', 'flow', 'tube', 'proton', 'transfer', 'reaction', 'expens']","['mass_spectrometry', 'disease', 'detection', 'reduction', 'mortality', 'rate', 'prognosis', 'biopsy', 'screen', 'population', 'technology', 'hour', 'method', 'gas', 'chromatography', 'mass', 'spectrometry', 'ion', 'flow', 'tube', 'proton', 'transfer', 'reaction', 'expens']"
223, aim this study aimed establish the dose streptozotocin required induce type diabetes wistar rats background streptozotocin currently employed worldwide induce insulin dependent diabetes mellitus also known type diabetes mellitus experimental animals though many reports the use streptozotocin induction diabetes are reported the literature they were not reproducible moreover there was mention the mortality associated with the same well ,en, aim this study aimed establish the dose streptozotocin required induce type diabetes wistar rats background streptozotocin currently employed worldwide induce insulin dependent diabetes mellitus also known type diabetes mellitus experimental animals though many reports the use streptozotocin induction diabetes are reported the literature they were not reproducible moreover there was mention the mortality associated with the same well , aim this study aimed establish the dose streptozotocin required induce type diabetes wistar rats background streptozotocin currently employed worldwide induce insulin dependent diabetes mellitus also known type diabetes mellitus experimental animals though many reports the use streptozotocin induction diabetes are reported the literature they were not reproducible moreover there was mention the mortality associated with the same well ,"['aim', 'study', 'aimed', 'establish', 'dose', 'streptozotocin', 'required', 'induce', 'type', 'diabetes', 'wistar', 'rat', 'background', 'streptozotocin', 'currently', 'employed', 'worldwide', 'induce', 'insulin', 'dependent', 'diabetes', 'mellitus', 'also', 'known', 'type', 'diabetes', 'mellitus', 'experimental', 'animal', 'though', 'many', 'report', 'use', 'streptozotocin', 'induction', 'diabetes', 'reported', 'literature', 'reproducible', 'moreover', 'mention', 'mortality', 'associated', 'well']","['aim', 'study', 'aimed', 'establish', 'dose', 'streptozotocin', 'required', 'induce', 'type', 'diabetes', 'wistar', 'rat', 'background', 'streptozotocin', 'currently', 'employed', 'worldwide', 'induce', 'insulin', 'dependent', 'diabetes', 'mellitus', 'also', 'known', 'type', 'diabetes', 'mellitus', 'experimental', 'animal', 'though', 'many', 'report', 'use', 'streptozotocin', 'induction', 'diabetes', 'reported', 'literature', 'reproducible', 'moreover', 'mention', 'mortality', 'associated', 'well']",[],aim study streptozotocin diabetes rat background worldwide induce insulin dependent mellitus type animal report use induction diabetes literature moreover mention mortality,"['aim', 'study', 'streptozotocin', 'diabetes', 'rat', 'background', 'worldwide', 'induce', 'insulin', 'dependent', 'mellitus', 'type', 'animal', 'report', 'use', 'induction', 'literature', 'moreover', 'mention', 'mortality']","['aim', 'study', 'streptozotocin', 'diabetes', 'rat', 'background', 'worldwide', 'induce', 'insulin', 'dependent', 'mellitus', 'type', 'animal', 'report', 'use', 'induction', 'literature', 'moreover', 'mention', 'mortality']"
224, aim further assess the correlation between urine immunoglobin igg greater than and the onset and progression diabetic kidney disease dkd methods one thousand and thirty five patients with type diabetes mellitus tdm were divided into two groups based the baseline levels urinary albumin excretion uae one group with uae and one with uae the groups were subdivided using baseline levels urine igg ,en, aim further assess the correlation between urine immunoglobin igg greater than and the onset and progression diabetic kidney disease dkd methods one thousand and thirty five patients with type diabetes mellitus tdm were divided into two groups based the baseline levels urinary albumin excretion uae one group with uae and one with uae the groups were subdivided using baseline levels urine igg , aim further assess the correlation between urine immunoglobin igg greater than and the onset and progression diabetic kidney disease dkd methods one thousand and thirty five patients with type diabetes mellitus tdm were divided into two groups based the baseline levels urinary albumin excretion uae one group with uae and one with uae the groups were subdivided using baseline levels urine igg ,"['aim', 'ass', 'correlation', 'urine', 'immunoglobin', 'igg', 'greater', 'onset', 'progression', 'diabetic', 'kidney', 'disease', 'dkd', 'method', 'one', 'thousand', 'thirty', 'five', 'patient', 'type', 'diabetes', 'mellitus', 'tdm', 'divided', 'two', 'group', 'based', 'baseline', 'level', 'urinary', 'albumin', 'excretion', 'uae', 'one', 'group', 'uae', 'one', 'uae', 'group', 'subdivided', 'using', 'baseline', 'level', 'urine', 'igg']","['aim', 'ass', 'correlation', 'urine', 'immunoglobin', 'igg', 'greater', 'onset', 'progression', 'diabetic', 'kidney', 'disease', 'dkd', 'method', 'one', 'thousand', 'thirty', 'five', 'patient', 'type', 'diabetes', 'mellitus_tdm', 'divided', 'two', 'group', 'based', 'baseline', 'level', 'urinary', 'albumin', 'excretion', 'uae', 'one', 'group', 'uae', 'one', 'uae', 'group', 'subdivided', 'using', 'baseline', 'level', 'urine', 'igg']",['mellitus_tdm'],aim ass correlation immunoglobin igg progression kidney disease dkd method thousand thirty patient type tdm group baseline level albumin excretion group uae group baseline level igg,"['mellitus_tdm', 'aim', 'ass', 'correlation', 'immunoglobin', 'igg', 'progression', 'kidney', 'disease', 'dkd', 'method', 'thousand', 'thirty', 'patient', 'type', 'tdm', 'group', 'baseline', 'level', 'albumin', 'excretion', 'uae']","['mellitus_tdm', 'aim', 'ass', 'correlation', 'immunoglobin', 'igg', 'progression', 'kidney', 'disease', 'dkd', 'method', 'thousand', 'thirty', 'patient', 'type', 'tdm', 'group', 'baseline', 'level', 'albumin', 'excretion', 'uae']"
225, using electrophysiology erg investigate the early alterations retinal function diabetic children and adolescents without diabetic retinopathy visual impairment ,en, using electrophysiology erg investigate the early alterations retinal function diabetic children and adolescents without diabetic retinopathy visual impairment , using electrophysiology erg investigate the early alterations retinal function diabetic children and adolescents without diabetic retinopathy visual impairment ,"['using', 'electrophysiology', 'erg', 'investigate', 'early', 'alteration', 'retinal', 'function', 'diabetic', 'child', 'adolescent', 'without', 'diabetic', 'retinopathy', 'visual', 'impairment']","['using', 'electrophysiology', 'erg', 'investigate', 'early', 'alteration', 'retinal', 'function', 'diabetic', 'child_adolescent', 'without', 'diabetic_retinopathy', 'visual', 'impairment']","['child_adolescent', 'diabetic_retinopathy']",electrophysiology erg alteration function child adolescent retinopathy impairment,"['child_adolescent', 'diabetic_retinopathy', 'electrophysiology', 'erg', 'alteration', 'function', 'child', 'adolescent', 'retinopathy', 'impairment']","['child_adolescent', 'diabetic_retinopathy', 'electrophysiology', 'erg', 'alteration', 'function', 'child', 'adolescent', 'retinopathy', 'impairment']"
226, aim investigate the relationship anhydroglucitol with hbac patients with type diabetes td with different ranges glycemic control methods one hundred outpatients with td years old were studied addition hbac glycemia lipids albuminuria estimated glomerular filtration rate and clinical data were registered results the patient median age was years with median years with td those with hbac had higher tha ,en, aim investigate the relationship anhydroglucitol with hbac patients with type diabetes td with different ranges glycemic control methods one hundred outpatients with td years old were studied addition hbac glycemia lipids albuminuria estimated glomerular filtration rate and clinical data were registered results the patient median age was years with median years with td those with hbac had higher tha , aim investigate the relationship anhydroglucitol with hbac patients with type diabetes td with different ranges glycemic control methods one hundred outpatients with td years old were studied addition hbac glycemia lipids albuminuria estimated glomerular filtration rate and clinical data were registered results the patient median age was years with median years with td those with hbac had higher tha ,"['aim', 'investigate', 'relationship', 'anhydroglucitol', 'hbac', 'patient', 'type', 'diabetes', 'td', 'different', 'range', 'glycemic', 'control', 'method', 'one', 'hundred', 'outpatient', 'td', 'year', 'old', 'studied', 'addition', 'hbac', 'glycemia', 'lipid', 'albuminuria', 'estimated', 'glomerular', 'filtration', 'rate', 'clinical', 'data', 'registered', 'result', 'patient', 'median', 'age', 'year', 'median', 'year', 'td', 'hbac', 'higher', 'tha']","['aim', 'investigate', 'relationship', 'anhydroglucitol', 'hbac', 'patient', 'type', 'diabetes', 'td', 'different', 'range', 'glycemic_control', 'method', 'one', 'hundred', 'outpatient', 'td', 'year_old', 'studied', 'addition', 'hbac', 'glycemia', 'lipid', 'albuminuria', 'estimated', 'glomerular', 'filtration', 'rate', 'clinical', 'data', 'registered', 'result', 'patient', 'median', 'age', 'year', 'median', 'year', 'td', 'hbac', 'higher', 'tha']","['glycemic_control', 'year_old']",aim investigate relationship hbac patient type range control method outpatient year addition hbac glycemia albuminuria filtration rate data result patient median age year year td hbac tha,"['glycemic_control', 'year_old', 'aim', 'investigate', 'relationship', 'hbac', 'patient', 'type', 'range', 'control', 'method', 'outpatient', 'year', 'addition', 'glycemia', 'albuminuria', 'filtration', 'rate', 'data', 'result', 'median', 'age', 'tha']","['glycemic_control', 'year_old', 'aim', 'investigate', 'relationship', 'hbac', 'patient', 'type', 'range', 'control', 'method', 'outpatient', 'year', 'addition', 'glycemia', 'albuminuria', 'filtration', 'rate', 'data', 'result', 'median', 'age', 'tha']"
